Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.2410 	0.2450 	0.2860 	0.2760 	0.2100 	0.1510 	0.1190 	0.0990 	0.0900 	0.0840 	0.0800 
4.0	0.5090 	0.4960 	0.5740 	0.5560 	0.4240 	0.3140 	0.2590 	0.2190 	0.2330 	0.2350 	0.2330 
6.0	0.7550 	0.7580 	0.8760 	0.8400 	0.6530 	0.4940 	0.4750 	0.4580 	0.4470 	0.4290 	0.4120 
8.0	1.0270 	1.0320 	1.1790 	1.1400 	0.8950 	0.7890 	0.7610 	0.7030 	0.6650 	0.6210 	0.5950 
10.0	1.3110 	1.3020 	1.4990 	1.4440 	1.1340 	1.1380 	1.0490 	0.9450 	0.8760 	0.8320 	0.8000 
12.0	1.5570 	1.5580 	1.7840 	1.6930 	1.5650 	1.5080 	1.3510 	1.1850 	1.1100 	1.0600 	1.0330 
14.0	1.7600 	1.8130 	2.0770 	1.9410 	2.0210 	1.8470 	1.6010 	1.4330 	1.3540 	1.3140 	1.2970 
16.0	2.0000 	2.0710 	2.3470 	2.6490 	2.4950 	2.1960 	1.8890 	1.7020 	1.6310 	1.6050 	1.5870 
18.0	2.2350 	2.3310 	2.6310 	3.2000 	2.9670 	2.4870 	2.1740 	1.9850 	1.9390 	1.9130 	1.8950 
20.0	2.4870 	2.5970 	3.5870 	3.8280 	3.4210 	2.8190 	2.4900 	2.3150 	2.2740 	2.2480 	2.2290 
22.0	2.7470 	2.8410 	4.2210 	4.4100 	3.8880 	3.1710 	2.8130 	2.6640 	2.6230 	2.5960 	2.5770 
24.0	3.0050 	3.1090 	4.9300 	5.0040 	4.3440 	3.5060 	3.1610 	3.0240 	2.9820 	2.9540 	2.9360 
26.0	3.2780 	3.4060 	5.5990 	5.5200 	4.7000 	3.8460 	3.5350 	3.3920 	3.3490 	3.3210 	3.3030 
28.0	3.5400 	4.6180 	6.2500 	6.0340 	5.0490 	4.1910 	3.9120 	3.7630 	3.7180 	3.6920 	3.6750 
30.0	3.7960 	5.1760 	6.9310 	6.5420 	5.3840 	4.5230 	4.2880 	4.1330 	4.0880 	4.0630 	4.0460 
