Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.2380 	0.2440 	0.2870 	0.2440 	0.2040 	0.1480 	0.1160 	0.0970 	0.0880 	0.0830 	0.0780 
4.0	0.5030 	0.4950 	0.5740 	0.4910 	0.4120 	0.3080 	0.2530 	0.2150 	0.2290 	0.2320 	0.2300 
6.0	0.7460 	0.7560 	0.8750 	0.7430 	0.6410 	0.4850 	0.4660 	0.4510 	0.4410 	0.4240 	0.4070 
8.0	1.0140 	1.0300 	1.1790 	1.0130 	0.8900 	0.7770 	0.7500 	0.6930 	0.6570 	0.6140 	0.5880 
10.0	1.2950 	1.3000 	1.4990 	1.2900 	1.1430 	1.1230 	1.0360 	0.9340 	0.8660 	0.8220 	0.7920 
12.0	1.5380 	1.5560 	1.7850 	1.5210 	1.5690 	1.4910 	1.3350 	1.1720 	1.0980 	1.0490 	1.0220 
14.0	1.7370 	1.8120 	2.0800 	1.7530 	2.0220 	1.8290 	1.5840 	1.4190 	1.3410 	1.3020 	1.2850 
16.0	1.9720 	2.0670 	2.3500 	2.4450 	2.4950 	2.1770 	1.8720 	1.6880 	1.6180 	1.5920 	1.5750 
18.0	2.2030 	2.3290 	2.6370 	2.9830 	2.9600 	2.4650 	2.1550 	1.9690 	1.9240 	1.8990 	1.8820 
20.0	2.4480 	2.5930 	3.5950 	3.5940 	3.4090 	2.7920 	2.4700 	2.2980 	2.2590 	2.2340 	2.2150 
22.0	2.7020 	2.8350 	4.2350 	4.1610 	3.8680 	3.1370 	2.7910 	2.6470 	2.6070 	2.5810 	2.5620 
24.0	2.9530 	3.1040 	4.9490 	4.7410 	4.3130 	3.4640 	3.1400 	3.0060 	2.9650 	2.9380 	2.9210 
26.0	3.2180 	3.4010 	5.6250 	5.2430 	4.6620 	3.7990 	3.5120 	3.3740 	3.3310 	3.3040 	3.2870 
28.0	3.4720 	4.6130 	6.2830 	5.7440 	5.0090 	4.1400 	3.8830 	3.7450 	3.7010 	3.6740 	3.6570 
30.0	3.7160 	5.1670 	6.9710 	6.2380 	5.3470 	4.4680 	4.2500 	4.1140 	4.0700 	4.0450 	4.0270 
