Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.2350 	0.2440 	0.2840 	0.2280 	0.1940 	0.1430 	0.1120 	0.0940 	0.0860 	0.0800 	0.0760 
4.0	0.4960 	0.4950 	0.5690 	0.4580 	0.3970 	0.2970 	0.2450 	0.2080 	0.2240 	0.2270 	0.2260 
6.0	0.7350 	0.7570 	0.8690 	0.6930 	0.6170 	0.4690 	0.4540 	0.4410 	0.4320 	0.4160 	0.4000 
8.0	1.0000 	1.0320 	1.1710 	0.9470 	0.8510 	0.7550 	0.7330 	0.6790 	0.6450 	0.6030 	0.5780 
10.0	1.2770 	1.3040 	1.4890 	1.2110 	1.0820 	1.0960 	1.0150 	0.9160 	0.8520 	0.8100 	0.7800 
12.0	1.5140 	1.5580 	1.7700 	1.4300 	1.5000 	1.4600 	1.3110 	1.1520 	1.0810 	1.0340 	1.0080 
14.0	1.7070 	1.8110 	2.0610 	1.6530 	1.9470 	1.7930 	1.5580 	1.3970 	1.3230 	1.2860 	1.2700 
16.0	1.9380 	2.0670 	2.3310 	2.3400 	2.4140 	2.1350 	1.8440 	1.6640 	1.5980 	1.5740 	1.5590 
18.0	2.1630 	2.3260 	2.6160 	2.8750 	2.8770 	2.4190 	2.1270 	1.9460 	1.9040 	1.8820 	1.8650 
20.0	2.4040 	2.5900 	3.5750 	3.4850 	3.3200 	2.7410 	2.4400 	2.2730 	2.2370 	2.2140 	2.1970 
22.0	2.6510 	2.8300 	4.2140 	4.0500 	3.7740 	3.0810 	2.7600 	2.6200 	2.5840 	2.5600 	2.5440 
24.0	2.8960 	3.0960 	4.9270 	4.6300 	4.2130 	3.4050 	3.1020 	2.9790 	2.9410 	2.9170 	2.9010 
26.0	3.1530 	3.3900 	5.6020 	5.1320 	4.5550 	3.7360 	3.4650 	3.3440 	3.3060 	3.2830 	3.2670 
28.0	3.3950 	4.5960 	6.2580 	5.6340 	4.8950 	4.0740 	3.8300 	3.7090 	3.6750 	3.6530 	3.6370 
30.0	3.6230 	5.1420 	6.9420 	6.1320 	5.2260 	4.3980 	4.1910 	4.0700 	4.0410 	4.0210 	4.0050 
