Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.1480 	0.1450 	0.1570 	0.1600 	0.1600 	0.1160 	0.0940 	0.0800 	0.0750 	0.0710 	0.0680 
4.0	0.3230 	0.2970 	0.3180 	0.3270 	0.3320 	0.2460 	0.2100 	0.1810 	0.2030 	0.2090 	0.2100 
6.0	0.4790 	0.4640 	0.5000 	0.5060 	0.5240 	0.3950 	0.4040 	0.4030 	0.4010 	0.3900 	0.3770 
8.0	0.6630 	0.6470 	0.6920 	0.7100 	0.7330 	0.6620 	0.6700 	0.6310 	0.6050 	0.5690 	0.5480 
10.0	0.8640 	0.8310 	0.9100 	0.9310 	0.9430 	0.9880 	0.9400 	0.8580 	0.8040 	0.7680 	0.7430 
12.0	1.0410 	1.0180 	1.1170 	1.1240 	1.3470 	1.3380 	1.2270 	1.0870 	1.0270 	0.9870 	0.9660 
14.0	1.1890 	1.2160 	1.3480 	1.3280 	1.7900 	1.6640 	1.4700 	1.3280 	1.2650 	1.2360 	1.2250 
16.0	1.3910 	1.4320 	1.5710 	2.0050 	2.2630 	2.0060 	1.7560 	1.5950 	1.5400 	1.5240 	1.5130 
18.0	1.6040 	1.6650 	1.8220 	2.5340 	2.7310 	2.2900 	2.0380 	1.8750 	1.8450 	1.8300 	1.8180 
20.0	1.8330 	1.9020 	2.7430 	3.1350 	3.1770 	2.6090 	2.3450 	2.2000 	2.1760 	2.1590 	2.1470 
22.0	2.0720 	2.1210 	3.3450 	3.6910 	3.6330 	2.9460 	2.6580 	2.5440 	2.5190 	2.5010 	2.4890 
24.0	2.3180 	2.3730 	4.0280 	4.2650 	4.0760 	3.2670 	2.9950 	2.8980 	2.8710 	2.8530 	2.8420 
26.0	2.5820 	2.6540 	4.6710 	4.7590 	4.4180 	3.5930 	3.3520 	3.2530 	3.2280 	3.2130 	3.2020 
28.0	2.8420 	3.8580 	5.3010 	5.2530 	4.7590 	3.9230 	3.7100 	3.6080 	3.5850 	3.5730 	3.5630 
30.0	3.1030 	4.4120 	5.9660 	5.7430 	5.0910 	4.2400 	4.0650 	3.9600 	3.9390 	3.9290 	3.9180 
