Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.1920 	0.1920 	0.2160 	0.2150 	0.1840 	0.1360 	0.1080 	0.0910 	0.0830 	0.0780 	0.0750 
4.0	0.4120 	0.3900 	0.4340 	0.4350 	0.3730 	0.2850 	0.2380 	0.2030 	0.2190 	0.2230 	0.2220 
6.0	0.6130 	0.6020 	0.6700 	0.6620 	0.5850 	0.4530 	0.4440 	0.4340 	0.4260 	0.4110 	0.3960 
8.0	0.8420 	0.8280 	0.9100 	0.9090 	0.8170 	0.7360 	0.7210 	0.6710 	0.6380 	0.5970 	0.5730 
10.0	1.0850 	1.0520 	1.1720 	1.1660 	1.0560 	1.0740 	1.0010 	0.9060 	0.8430 	0.8030 	0.7740 
12.0	1.2970 	1.2710 	1.4120 	1.3810 	1.4700 	1.4360 	1.2960 	1.1410 	1.0720 	1.0260 	1.0010 
14.0	1.4720 	1.4960 	1.6680 	1.6010 	1.9150 	1.7680 	1.5410 	1.3850 	1.3120 	1.2770 	1.2620 
16.0	1.6930 	1.7270 	1.9040 	2.2840 	2.3840 	2.1150 	1.8270 	1.6520 	1.5870 	1.5650 	1.5510 
18.0	1.9200 	1.9740 	2.1650 	2.8150 	2.8460 	2.4000 	2.1080 	1.9320 	1.8920 	1.8710 	1.8550 
20.0	2.1590 	2.2200 	3.0930 	3.4210 	3.2930 	2.7250 	2.4210 	2.2590 	2.2250 	2.2030 	2.1870 
22.0	2.4110 	2.4490 	3.7040 	3.9810 	3.7500 	3.0670 	2.7410 	2.6060 	2.5710 	2.5480 	2.5320 
24.0	2.6660 	2.7070 	4.3930 	4.5570 	4.1940 	3.3930 	3.0880 	2.9630 	2.9270 	2.9030 	2.8880 
26.0	2.9400 	2.9960 	5.0410 	5.0530 	4.5400 	3.7250 	3.4560 	3.3280 	3.2890 	3.2660 	3.2500 
28.0	3.2080 	4.2050 	5.6730 	5.5470 	4.8850 	4.0630 	3.8230 	3.6950 	3.6550 	3.6310 	3.6160 
30.0	3.4750 	4.7610 	6.3380 	6.0360 	5.2210 	4.3880 	4.1860 	4.0590 	4.0200 	3.9970 	3.9810 
