Alpha\Mach	0.6 	0.9 	1.2 	1.5 	2.0 	3.0 	4.0 	5.0 	6.0 	7.0 	8.0 
0.0	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
2.0	0.2380 	0.2440 	0.2870 	0.2480 	0.2070 	0.1490 	0.1170 	0.0970 	0.0890 	0.0830 	0.0790 
4.0	0.5030 	0.4950 	0.5740 	0.5000 	0.4180 	0.3110 	0.2550 	0.2160 	0.2300 	0.2320 	0.2300 
6.0	0.7460 	0.7570 	0.8760 	0.7560 	0.6500 	0.4890 	0.4690 	0.4530 	0.4420 	0.4240 	0.4080 
8.0	1.0150 	1.0300 	1.1800 	1.0310 	0.9020 	0.7820 	0.7530 	0.6960 	0.6590 	0.6150 	0.5890 
10.0	1.2960 	1.3010 	1.5000 	1.3130 	1.1580 	1.1300 	1.0400 	0.9360 	0.8680 	0.8240 	0.7930 
12.0	1.5390 	1.5580 	1.7870 	1.5470 	1.5870 	1.4990 	1.3400 	1.1760 	1.1010 	1.0520 	1.0240 
14.0	1.7410 	1.8150 	2.0840 	1.7830 	2.0420 	1.8380 	1.5900 	1.4230 	1.3450 	1.3050 	1.2880 
16.0	1.9740 	2.0700 	2.3530 	2.4770 	2.5160 	2.1870 	1.8780 	1.6920 	1.6210 	1.5950 	1.5780 
18.0	2.2070 	2.3330 	2.6410 	3.0160 	2.9800 	2.4740 	2.1600 	1.9730 	1.9270 	1.9020 	1.8840 
20.0	2.4490 	2.5940 	3.5970 	3.6300 	3.4310 	2.8020 	2.4760 	2.3020 	2.2620 	2.2360 	2.2170 
22.0	2.7030 	2.8370 	4.2360 	4.1990 	3.8920 	3.1470 	2.7980 	2.6510 	2.6100 	2.5830 	2.5650 
24.0	2.9540 	3.1050 	4.9510 	4.7820 	4.3380 	3.4750 	3.1470 	3.0110 	2.9690 	2.9410 	2.9230 
26.0	3.2200 	3.4020 	5.6260 	5.2860 	4.6880 	3.8110 	3.5190 	3.3790 	3.3350 	3.3080 	3.2900 
28.0	3.4730 	4.6140 	6.2850 	5.7890 	5.0370 	4.1530 	3.8910 	3.7510 	3.7050 	3.6780 	3.6600 
30.0	3.7180 	5.1690 	6.9730 	6.2850 	5.3770 	4.4820 	4.2580 	4.1210 	4.0750 	4.0490 	4.0300 
